 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     7   0.00001457   0.00005947   0.00006123        76.24
     8   0.00001081   0.00007121   0.00007203        81.37
     9   0.00000773   0.00008175   0.00008211        84.60
    10   0.00000530   0.00009066   0.00009081        86.65
    11   0.00000444   0.00009737   0.00009748        87.39
    12   0.00000522   0.00010085   0.00010098        87.04
    13   0.00000748   0.00010073   0.00010101        85.75
    14   0.00001137   0.00009755   0.00009821        83.35
    15   0.00001582   0.00009234   0.00009369        80.28
    16   0.00001978   0.00008578   0.00008803        77.01
    17  -0.00016359  -0.00010448   0.00019411      -147.44
    18  -0.00000122  -0.00000211   0.00000244      -120.10
    19   0.00002754  -0.00274643   0.00274657       -89.43
    20   0.00003042  -0.00216254   0.00216275       -89.19
    21   0.00003170  -0.00119322   0.00119364       -88.48
    22   0.00003088  -0.00219125   0.00219147       -89.19
    23   0.00002813  -0.00276145   0.00276160       -89.42
    24   0.00002316  -0.00322677   0.00322685       -89.59
    25   0.00001753  -0.00360870   0.00360875       -89.72
    26   0.00001290  -0.00392575   0.00392577       -89.81
    27   0.00000906  -0.00415975   0.00415976       -89.88
    28   0.00000598  -0.00430104   0.00430104       -89.92
    29   0.00000481  -0.00435146   0.00435147       -89.94
    30   0.00000568  -0.00431381   0.00431381       -89.92
    31   0.00000839  -0.00418991   0.00418991       -89.89
    32   0.00001313  -0.00398605   0.00398607       -89.81
    33   0.00001861  -0.00369524   0.00369529       -89.71
    34   0.00002349  -0.00327457   0.00327466       -89.59
    35  -0.00018860  -0.00038402   0.00042784      -116.16
    36  -0.00000142  -0.00015582   0.00015582       -90.52
    37   0.00000120   0.00010527   0.00010528        89.35
    38   0.00003066  -0.00003440   0.00004608       -48.29
    39   0.00003091   0.00002916   0.00004250        43.33
    40   0.00003122   0.00008583   0.00009133        70.01
    41   0.00003157   0.00014060   0.00014410        77.34
    42   0.00003129  -0.00012549   0.00012933       -76.00



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00002275   0.00006957   0.00007320        71.89
     2   0.00002502   0.00004582   0.00005220        61.36
     3   0.00002603   0.00002492   0.00003603        43.76
     4   0.00002533   0.00002438   0.00003515        43.91
     5   0.00002308   0.00002935   0.00003733        51.81
     6   0.00001906   0.00003857   0.00004302        63.70
     7   0.00001454   0.00004976   0.00005184        73.71
     8   0.00001084   0.00006047   0.00006143        79.84
     9   0.00000779   0.00007024   0.00007067        83.67
    10   0.00000537   0.00007874   0.00007893        86.10
    11   0.00000450   0.00008530   0.00008542        86.98
    12   0.00000524   0.00008890   0.00008906        86.62
    13   0.00000745   0.00008929   0.00008960        85.23
    14   0.00001126   0.00008688   0.00008761        82.61
    15   0.00001564   0.00008258   0.00008405        79.28
    16   0.00001954   0.00007690   0.00007935        75.74
    17  -0.00016168  -0.00009004   0.00018506      -150.89
    18  -0.00000120  -0.00000184   0.00000220      -123.19
    19   0.00002789  -0.00274992   0.00275007       -89.42
    20   0.00003084  -0.00216160   0.00216182       -89.18
    21   0.00003217  -0.00118746   0.00118789       -88.45
    22   0.00003137  -0.00218604   0.00218626       -89.18
    23   0.00002860  -0.00275701   0.00275716       -89.41
    24   0.00002359  -0.00322313   0.00322321       -89.58
    25   0.00001790  -0.00360588   0.00360593       -89.72
    26   0.00001321  -0.00392371   0.00392373       -89.81
    27   0.00000930  -0.00415853   0.00415854       -89.87
    28   0.00000615  -0.00430068   0.00430068       -89.92
    29   0.00000493  -0.00435188   0.00435189       -89.94
    30   0.00000578  -0.00431495   0.00431495       -89.92
    31   0.00000851  -0.00419172   0.00419173       -89.88
    32   0.00001329  -0.00398844   0.00398846       -89.81
    33   0.00001883  -0.00369803   0.00369808       -89.71
    34   0.00002378  -0.00327774   0.00327782       -89.58
    35  -0.00019013  -0.00038561   0.00042994      -116.25
    36  -0.00000143  -0.00015566   0.00015567       -90.53
    37   0.00000135   0.00011440   0.00011441        89.32
    38   0.00003195  -0.00004734   0.00005711       -55.98
    39   0.00003211   0.00000794   0.00003308        13.90
    40   0.00003235   0.00006055   0.00006865        61.89
    41   0.00003264   0.00010506   0.00011002        72.74
    42   0.00003296   0.00014599   0.00014966        77.28
    43   0.00003267  -0.00012737   0.00013149       -75.61



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00002247   0.00006186   0.00006582        70.04
     2   0.00002470   0.00003982   0.00004686        58.18
     3   0.00002569   0.00002030   0.00003275        38.31
     4   0.00002502   0.00001953   0.00003174        37.98
     5   0.00002282   0.00002381   0.00003297        46.22
     6   0.00001888   0.00003209   0.00003723        59.53
     7   0.00001445   0.00004225   0.00004465        71.12
     8   0.00001081   0.00005197   0.00005308        78.25
     9   0.00000782   0.00006095   0.00006145        82.69
    10   0.00000544   0.00006893   0.00006914        85.48
    11   0.00000458   0.00007516   0.00007530        86.51
    12   0.00000530   0.00007866   0.00007884        86.14
    13   0.00000746   0.00007926   0.00007961        84.62
    14   0.00001120   0.00007732   0.00007812        81.76
    15   0.00001549   0.00007361   0.00007522        78.12
    16   0.00001932   0.00006857   0.00007124        74.27
    17  -0.00015904  -0.00007653   0.00017650      -154.30
    18  -0.00000118  -0.00000159   0.00000199      -126.59
    19   0.00002827  -0.00274773   0.00274787       -89.41
    20   0.00003126  -0.00216023   0.00216046       -89.17
    21   0.00003261  -0.00118744   0.00118789       -88.43
    22   0.00003182  -0.00218541   0.00218565       -89.17
    23   0.00002903  -0.00275652   0.00275667       -89.40
    24   0.00002398  -0.00322274   0.00322283       -89.57
    25   0.00001824  -0.00360558   0.00360562       -89.71
    26   0.00001349  -0.00392339   0.00392341       -89.80
    27   0.00000953  -0.00415821   0.00415822       -89.87
    28   0.00000634  -0.00430039   0.00430039       -89.92
    29   0.00000509  -0.00435153   0.00435154       -89.93
    30   0.00000594  -0.00431448   0.00431448       -89.92
    31   0.00000868  -0.00419110   0.00419111       -89.88
    32   0.00001351  -0.00398763   0.00398765       -89.81
    33   0.00001910  -0.00369689   0.00369694       -89.70
    34   0.00002410  -0.00327627   0.00327636       -89.58
    35  -0.00019102  -0.00038531   0.00043006      -116.37
    36  -0.00000144  -0.00015562   0.00015563       -90.53
    37   0.00000054   0.00011172   0.00011172        89.72
    38   0.00003352  -0.00004734   0.00005801       -54.70
    39   0.00003367   0.00000784   0.00003457        13.10
    40   0.00003390   0.00006075   0.00006957        60.84
    41   0.00003419   0.00010619   0.00011155        72.15
    42   0.00003453   0.00014909   0.00015304        76.96
    43   0.00003428  -0.00012610   0.00013068       -74.79



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00002214   0.00005520   0.00005947        68.14
     2   0.00002433   0.00003463   0.00004233        54.91
     3   0.00002531   0.00001633   0.00003012        32.83
     4   0.00002465   0.00001540   0.00002907        32.00
     5   0.00002250   0.00001913   0.00002954        40.37
     6   0.00001866   0.00002666   0.00003254        55.02
     7   0.00001433   0.00003599   0.00003874        68.29
     8   0.00001077   0.00004491   0.00004619        76.51
     9   0.00000784   0.00005324   0.00005382        81.62
